"","IssuerCompany","QIB","NII","RII","EMP","Total","OpenPrice","LowPrice","HighPrice","ClosePrice","ListingGains"
"254","Housing Development and Infrastructure Ltd",10.1347,1.7825,1.5906,0.0448,6.6,567.5,473.5,617.5,558.6,11.72
"255","Suryachakra Power Corporation Ltd",1.8779,1.3347,3.0249,0.999,2.18,30,21,30,22.35,11.75
"256","Ankit Metal & Power Ltd",0.719,3.7992,2.4286,0.1806,1.58,37.9,36.5,38.4,36.95,2.64
"257","Celestial Labs Limited",0,0,0,0,0,70,66.15,75,67.2,12
"258","Vishal Retail Ltd",45.5514,311.5705,50.4015,1.3438,69.08,472.5,423.25,809,752.2,178.59
"259","Roman Tarmat Limited",27.4921,62.1384,21.819,0.75,29.67,295,295,376.25,319.85,82.77
"260","Nelcast Limited",11.2238,0.9268,4.592,NA,7.36,252.05,203.1,284.7,206.25,-5.82
"261","Meghmani Organics Limited",19.4343,44.7542,26.0106,NA,23.94,33.25,26.15,34,26.65,40.26
"262","DLF Limited",5.1288,1.1434,0.9752,0.7862,3.47,582,505.6,714.25,570.05,8.58
"263","Decolight Ceramics Limited",0.2591,2.079,3.1022,NA,1.53,57,43.5,65.9,44.5,-17.59
"264","Time Technoplast Limited",69.8787,72.1694,12.9671,0.752,49.55,415.55,415.55,498,480.35,52.49
"265","Nitin Fire Protection Industries Ltd",49.91,101.32,30.29,1.11,48.48,332.5,332.5,502.7,484.1,154.79
"266","Glory Polyfilms Ltd",0,0,0,0,0,50,50,84,61.85,28.85
"267","Asahi Songwon Colors Ltd",3.2151,0.3869,0.5228,NA,1.85,93,87.65,134.7,89.95,-0.06
"268","Insecticides India Ltd",0.3214,1.6242,4.4893,1.2093,1.97,105,101.15,117,109.5,-4.78
"269","MIC Electronics Limited",47.4925,106.3369,31.1108,NA,50.59,210.25,210.25,367.8,335.65,123.77
"270","Bhagwati Banquets And Hotels Ltd",0.424,3.5451,3.0919,NA,1.83,46.35,45.35,57.2,50.65,26.63
"271","Fortis Healthcare Ltd",2.7239,1.7391,3.2546,NA,2.78,105,97.9,109.1,100,-7.41
"272","Hilton Metal Forging Ltd",0,0,0,0,0,75,66,80,67.6,-3.43
"273","Advanta India Limited",6.4668,0.2036,0.2612,NA,3.98,640,591,992.9,850.05,30.78
"274","Orbit Corporation Limited",5.7017,4.5951,0.8864,NA,3.85,90,90,137,127.95,16.32
"275","ICRA Limited",90.6489,72.1245,53.9924,NA,75.04,525,525,880.1,797.6,141.7
"276","Gremach Infrastructure Ltd",0.339,6.3136,0.3764,0.0339,1.13,92,80.7,100,83.95,-2.38
"277","Page Industries Ltd (Jockey India)",2.2746,0.214,0.7919,0.498,1.44,341.9,272,341.9,282.1,-21.64
"278","Abhishek Mills Ltd",1.1614,3.855,0.3175,1.0007,1.26,94,79.4,100.45,91.15,-8.85
"279","Raj Television Network Ltd",0.3916,4.0062,6.9177,1.2752,3.04,275,207.1,275,225.95,-12.08
"280","AMD Metplast Limited",1.3267,14.4732,8.698,0.8868,5.32,65.1,64.65,82.55,78.3,4.4
"281","Indus Fila Limited",1.1936,3.8642,0.7374,NA,1.43,160,117.4,160,132.15,-22.26
"282","Astral Poly Technik Limited",0,0,0,0,0,115,100.2,115,104.55,-9.09
"283","Broadcast Initiatives Limited",1.6071,6.4519,2.8865,0.627,2.76,117,66.6,118,69.4,-42.17
"284","MindTree Consulting Limited",156.9804,134.9587,30.0554,2.786,103.28,599,575.2,678.8,620.3,45.95
"285","Jagjanani Textiles Limited",0,0,0,0,0,22.4,20.1,24.9,23.15,-7.4
"286","Evinix Accessories Limited",1.3028,14.5644,2.4734,NA,3.7,110,70.25,128,73.75,-38.54
"287","Oriental Trimex Limited",0.3158,1.7395,1.7939,NA,1.05,42,28.2,47,29.45,-38.65
"288","Vijayeswari Textiles Limited",1,3.3726,0.2581,NA,1.1,90.05,65,90.05,68.95,-31.05
"289","Mudra Lifestyle Limited",7.0105,1.3153,3.1535,0.4448,4.59,94.8,62.05,95,63.8,-29.11
"290","Euro Ceramics Limited",3.8915,1.1327,2.7347,0.7334,3.02,151,115.25,159,118.65,-28.09
"291","C & C Constructions Limited",29.9577,7.9273,4.9559,NA,20.25,350,229.15,350,239.9,-17.56
"292","Lawreshwar Polymers Ltd",0,0,0,0,0,15.9,13.55,17.75,14,-12.5
"293","SMS Pharmaceuticals Limited",3.4694,0.2839,2.4715,NA,2.64,349.9,285.3,390,357.85,-5.83
"294","Idea Cellular Limited",78.6844,22.8173,3.8712,2.2534,49.51,92.4,84,94.25,85.55,14.07
"295","Firstsource Solutions Limited",72.2876,40.7842,11.5378,2.0394,50.07,75.1,75.1,88.9,79.6,24.37
"296","Indian Bank",56.4475,8.3555,3.183,0.6297,32.16,105,77,105,98.3,8.02
"297","Transwarranty Finance Ltd",1.0277,1.8702,2.3358,0.2436,1.59,60,46.1,63,47.25,-9.13
"298","Redington (India) Limited",59.0647,41.8054,12.156,NA,43.27,140,125,174.45,163.25,44.47
"299","Power Finance Corporation Ltd.",137.1681,48.8084,8.5379,1.1471,77.24,104,103.5,117,111.55,31.24
"300","Technocraft Industries (India) Ltd",11.6479,16.9837,8.074,0.8167,10.67,125,97.35,130,100.9,-3.9
"301","Akruti Nirman Limited",118.0961,64.7341,12.3955,NA,81.05,701.35,552.35,729,564,4.44
"302","Cinemax India Ltd",60.6831,44.9865,15.7688,0.4118,42.32,175,145,178.9,152.35,-1.71
"303","Pochiraju Industries Limited",1.9787,4.4919,6.0173,NA,3.77,45,35.05,64,49.15,63.83
"304","Global Broadcast News Ltd",35.2572,170.4018,42.7585,3.0798,48.74,417.1,381.25,524,510.1,104.04
"305","House of Pearl Fashions Ltd",6.336,1.1374,1.8084,0.9328,3.91,500,445.05,580.25,469.4,-14.65
"306","Autoline Industries Limited",16.2634,32.4365,12.4604,NA,17.36,261.15,252.25,282,257.95,14.64
"307","Cambridge Technology Enterprises Ltd",0,0,0,0,0,48.9,48,108,99.95,163.03
"308","Shree Ashtavinayak Cine Vision",6.1279,10.6677,3.9409,NA,6.04,189.9,185.1,248.1,226.5,41.56
"309","Pyramid Saimira Theatre Ltd",15.3135,29.7896,14.4763,0.8889,16.26,135,125,163.85,158.2,58.2
"310","Lumax Auto Technologies Ltd",0,0,0,0,0,75.5,75.5,142.1,110.6,47.47
"311","Tanla Solutions Ltd",57.0586,41.5821,11.0927,NA,38.65,379.8,365,379.8,379.8,43.32
"312","Cairn India Ltd",1.3635,0.4749,0.9076,NA,1.14,140,128.65,155,137.5,-14.06
"313","Richa Knits Limited",0,0,0,0,0,30.95,30,40,30.25,0.83
"314","Usher Agro Ltd",0,0,0,0,0,19.35,14.9,19.35,16.2,8
"315","KEW Industries Limted",0,0,0,0,0,35.5,23.1,36,23.6,-21.33
"316","Deep Industries Ltd",0,0,0,0,0,49,27,49,27.9,-22.5
