"","RegistrarName","IssuerCompany"
"397","Cameo Corporate Services Limited","RPP Infra Projects Ltd IPO"
"398","Cameo Corporate Services Limited","Alkali Metals Limited IPO"
"399","Cameo Corporate Services Limited","Bafna Pharmaceuticals Limited IPO"
"400","Cameo Corporate Services Limited","Kiri Dyes and Chemicals Limited IPO"
"401","Cameo Corporate Services Limited","Shriram EPC Limited IPO"
"402","Cameo Corporate Services Limited","Empee Distilleries Limited IPO"
"403","Cameo Corporate Services Limited","Circuit Systems (India) Ltd IPO"
"404","Cameo Corporate Services Limited","Dhanus Technologies Limited IPO"
"405","Cameo Corporate Services Limited","Refex Refrigerants Limited IPO"
"406","Cameo Corporate Services Limited","Simplex Projects Limited IPO"
"407","Cameo Corporate Services Limited","Everonn Systems India Limited IPO"
"408","Cameo Corporate Services Limited","Raj Television Network Ltd IPO"
"409","Cameo Corporate Services Limited","Indian Bank IPO"
"410","Cameo Corporate Services Limited","Redington (India) Limited IPO"
"411","Cameo Corporate Services Limited","Pyramid Saimira Theatre Ltd IPO"
"412","Ankit Consultancy Private Limited","Sita Shree Food Products Ltd IPO"
"413","Mondkar Computers Private Limited","Bedmutha Industries Ltd IPO"
"414","Mondkar Computers Private Limited","Rishabhdev Technocable Ltd IPO"
"415","Mondkar Computers Private Limited","Somi Conveyor Beltings Limited IPO"
"416","Mondkar Computers Private Limited","MindTree Consulting Limited IPO"
"417","Adroit Corporate Services Pvt Ltd","Sirohia & Sons Ltd IPO"
"418","Adroit Corporate Services Pvt Ltd","Birla Pacific Medspa Ltd IPO"
"419","Adroit Corporate Services Pvt Ltd","Birla Cotsyn (India) Limited IPO"
"420","S.K.D.C Consultants Limited","Thangamayil Jewellery Limited IPO"
"421","S.K.D.C Consultants Limited","Lotus Eye Care Hospital Limited IPO"
"422","Datamatics Financial Services Ltd","Emmbi Polyarns Limited IPO"
"423","Datamatics Financial Services Ltd","Avon Weighing Systems Limited IPO"
"424","Datamatics Financial Services Ltd","Indus Fila Limited IPO"
"425","Datamatics Financial Services Ltd","Technocraft Industries (India) Ltd IPO"
"426","Niche Technologies Pvt. Ltd","Gallantt Ispat Ltd IPO"
"427","Niche Technologies Pvt. Ltd","Burnpur Cement Limited IPO"
"428","MAS Services Limited","Dhanuka Commercial Ltd IPO"
"429","MAS Services Limited","Satkar Finlease Limited IPO"
"430","MAS Services Limited","Rathi Bars Ltd IPO"
"431","Alankit Assignments Ltd","Insecticides India Ltd IPO"
"432","Sharex Dynamic (India) Pvt Ltd","Bajaj Healthcare Ltd IPO"
"433","Sharex Dynamic (India) Pvt Ltd","Relicab Cable Manufacturing Ltd IPO"
"434","Sharex Dynamic (India) Pvt Ltd","Cawasji Behramji Catering Services Ltd IPO"
"435","Sharex Dynamic (India) Pvt Ltd","H.K. Trade International Limited IPO"
"436","Sharex Dynamic (India) Pvt Ltd","Loyal Equipments Ltd IPO"
"437","Sharex Dynamic (India) Pvt Ltd","Atishay Infotech Limited IPO"
"438","Sharex Dynamic (India) Pvt Ltd","Bansal Roofing Products Ltd IPO"
"439","Sharex Dynamic (India) Pvt Ltd","SRG Securities Finance Ltd IPO"
"440","Sharex Dynamic (India) Pvt Ltd","Samruddhi Realty Ltd IPO"
"441","Sharex Dynamic (India) Pvt Ltd","Lakhotia Polyesters (India) Ltd IPO"
"442","Sharex Dynamic (India) Pvt Ltd","Bothra Metals and Alloys Ltd IPO"
"443","Sharex Dynamic (India) Pvt Ltd","SRG Housing Finance Ltd IPO"
"444","Sharex Dynamic (India) Pvt Ltd","Tijaria Polypipes Ltd IPO"
"445","Sharex Dynamic (India) Pvt Ltd","Acropetal Technologies Ltd IPO"
"446","Sharex Dynamic (India) Pvt Ltd","Shekhawati Poly-Yarn Ltd IPO"
"447","Sharex Dynamic (India) Pvt Ltd","Hilton Metal Forging Ltd IPO"
"448","Sharepro Services Private Limited,","Hi-Tech Pipes Ltd IPO"
"449","Sharepro Services Private Limited,","Fourth Dimension Solutions Ltd IPO"
"450","Sharepro Services Private Limited,","Oyeeee Media Ltd IPO"
"451","Sharepro Services Private Limited,","Gala Print City Ltd IPO"
"452","Sharepro Services Private Limited,","VMV Holidays Ltd IPO"
"453","Sharepro Services Private Limited,","Captain Pipes Ltd IPO"
"454","Sharepro Services Private Limited,","Oasis Tradelink Ltd IPO"
"455","Sharepro Services Private Limited,","Suyog Telematics Ltd IPO"
"456","Sharepro Services Private Limited,","Tentiwal Wire Products Ltd IPO"
"457","Sharepro Services Private Limited,","Captain Polyplast Ltd IPO"
"458","Sharepro Services Private Limited,","VCU Data Management Ltd IPO"
"459","Sharepro Services Private Limited,","Subh Tex India Limited IPO"
"460","Sharepro Services Private Limited,","Newever Trade Wings Ltd IPO"
"461","Sharepro Services Private Limited,","VKJ Infradevelopers Ltd IPO"
"462","Sharepro Services Private Limited,","Sunstar Realty Development Ltd IPO"
"463","Sharepro Services Private Limited,","Comfort Commotrade Ltd IPO"
"464","Sharepro Services Private Limited,","Max Alert Systems Ltd IPO"
"465","Sharepro Services Private Limited,","Monarch Health Services Ltd IPO"
"466","Sharepro Services Private Limited,","Indo Thai Securities Limited IPO"
"467","Sharepro Services Private Limited,","Onelife Capital Advisors Ltd IPO"
"468","Sharepro Services Private Limited,","L&T Finance Holdings Limited IPO"
"469","Sharepro Services Private Limited,","Paramount Printpackaging Ltd IPO"
"470","Sharepro Services Private Limited,","Aster Silicates Ltd IPO"
"471","Sharepro Services Private Limited,","Advanta India Limited IPO"
"472","Sharepro Services Private Limited,","Firstsource Solutions Limited IPO"
"473","Beetal Financial & Computer Services (P) Limited","Amsons Apparels Ltd IPO"
"474","Beetal Financial & Computer Services (P) Limited","Sanco Industries Ltd IPO"
"475","Beetal Financial & Computer Services (P) Limited","Channel Nine Entertainment Ltd IPO"
"476","Beetal Financial & Computer Services (P) Limited","Jointeca Education Solutions Ltd IPO"
"477","Beetal Financial & Computer Services (P) Limited","SRS Limited IPO"
"478","Beetal Financial & Computer Services (P) Limited","Shilpi Cable Technologies Ltd IPO"
"479","Beetal Financial & Computer Services (P) Limited","Cantabil Retail India Ltd IPO"
"480","Beetal Financial & Computer Services (P) Limited","Tirupati Inks Ltd FPO"
"481","Beetal Financial & Computer Services (P) Limited","Evinix Accessories Limited IPO"
"482","Beetal Financial & Computer Services (P) Limited","Oriental Trimex Limited IPO"
"483","Maheshwari Datamatics Pvt. Ltd","Anubhav Infrastructure Ltd IPO"
"484","Maheshwari Datamatics Pvt. Ltd","Lawreshwar Polymers Ltd IPO"
"485","Alpha Systems Private Limited","Manjushree Extrusions Ltd FPO"
"486","Purva Sharegistry India Pvt Ltd","Ghushine Fintrrade Ocean Ltd IPO"
"487","Purva Sharegistry India Pvt Ltd","Sylph Education Solutions Ltd IPO"
"488","Purva Sharegistry India Pvt Ltd","Athena Constructions Ltd IPO"
"489","Purva Sharegistry India Pvt Ltd","Aanchal Ispat Ltd IPO"
"490","Purva Sharegistry India Pvt Ltd","Carewell Industries Ltd IPO"
"491","Purva Sharegistry India Pvt Ltd","Bhanderi Infracon Ltd IPO"
"492","Purva Sharegistry India Pvt Ltd","Unishire Urban Infra Ltd IPO"
"493","Purva Sharegistry India Pvt Ltd","Agrimony Commodities Ltd IPO"
"494","Purva Sharegistry India Pvt Ltd","GCM Commodity & Derivatives Ltd IPO"
"495","Purva Sharegistry India Pvt Ltd","Onesource Techmedia Ltd IPO"
"496","Purva Sharegistry India Pvt Ltd","GCM Securities Ltd IPO"
"497","Purva Sharegistry India Pvt Ltd","Sangam Advisors Ltd IPO"
"498","Purva Sharegistry India Pvt Ltd","BCB Finance Ltd IPO"
"499","Purva Sharegistry India Pvt Ltd","Timbor Home Limited IPO"
"500","CB Management Services (P) Limited","Encash Entertainment Ltd IPO"
"501","CB Management Services (P) Limited","Bronze infra-tech Ltd IPO"
"502","Skyline Financial Services Private Ltd","Franklin Leasing and Finance Ltd IPO"
"503","Skyline Financial Services Private Ltd","Blueblood Ventures Ltd IPO"
"504","Skyline Financial Services Private Ltd","Funny Software Ltd IPO"
"505","Skyline Financial Services Private Ltd","Raghuvansh Agrofarms Ltd IPO"
"506","Skyline Financial Services Private Ltd","Shri Krishna Prasadam Ltd IPO"
"507","Skyline Financial Services Private Ltd","Stellar Capital Services Ltd IPO"
"508","Skyline Financial Services Private Ltd","India Finsec Limited IPO"
"509","Satellite Corporate Services Private Limited","Suncare Traders Ltd IPO"
"510","Satellite Corporate Services Private Limited","Amrapali Fincap Ltd IPO"
"511","Satellite Corporate Services Private Limited","Karnavati Finance Ltd IPO"
"512","Satellite Corporate Services Private Limited","Amrapali Capital and Finance Services Ltd IPO"
"513","Satellite Corporate Services Private Limited","Ace Tours Worldwide Ltd IPO"
"514","RCMC Share Registry Private Limited","RCI Industries & Technologies Ltd IPO"
"515","S.K. Infosolutions Private Limited","GCM Capital Advisors Ltd IPO"
"516","Universal Capital Securities Pvt. Ltd","SPS Finquest Ltd IPO"
